0	Z2	0,00 0,00 1,00 0,00 0,00 	0,00 0,00 1,00 0,00 0,00 
1	Z1	0,00 0,50 0,50 0,00 0,00 	0,00 0,25 0,50 0,25 0,00 
2	Z0	0,33 0,33 0,33 0,00 0,00 	0,06 0,25 0,38 0,25 0,06 
3	Z0	0,50 0,25 0,25 0,00 0,00 	0,11 0,23 0,31 0,27 0,08 
4	Z0	0,60 0,20 0,20 0,00 0,00 	0,14 0,22 0,28 0,27 0,09 
5	Z0	0,67 0,17 0,17 0,00 0,00 	0,16 0,22 0,26 0,27 0,09 
6	Z0	0,71 0,14 0,14 0,00 0,00 	0,18 0,21 0,25 0,27 0,09 
7	Z0	0,75 0,13 0,13 0,00 0,00 	0,18 0,21 0,25 0,26 0,09 
8	Z0	0,78 0,11 0,11 0,00 0,00 	0,19 0,22 0,24 0,26 0,09 
9	Z0	0,80 0,10 0,10 0,00 0,00 	0,20 0,22 0,24 0,26 0,09 
10	Z1	0,73 0,18 0,09 0,00 0,00 	0,20 0,22 0,24 0,25 0,09 
11	Z1	0,67 0,25 0,08 0,00 0,00 	0,21 0,22 0,24 0,25 0,09 
12	Z0	0,69 0,23 0,08 0,00 0,00 	0,21 0,22 0,24 0,25 0,08 
13	Z0	0,71 0,21 0,07 0,00 0,00 	0,21 0,22 0,24 0,25 0,08 
14	Z0	0,73 0,20 0,07 0,00 0,00 	0,21 0,22 0,23 0,24 0,08 
15	Z1	0,69 0,25 0,06 0,00 0,00 	0,22 0,22 0,23 0,24 0,08 
16	Z1	0,65 0,29 0,06 0,00 0,00 	0,22 0,22 0,23 0,24 0,08 
17	Z1	0,61 0,33 0,06 0,00 0,00 	0,22 0,23 0,23 0,24 0,08 
18	Z2	0,58 0,32 0,11 0,00 0,00 	0,22 0,23 0,23 0,24 0,08 
19	Z2	0,55 0,30 0,15 0,00 0,00 	0,22 0,23 0,23 0,24 0,08 
20	Z3	0,52 0,29 0,14 0,05 0,00 	0,22 0,23 0,23 0,24 0,08 
21	Z3	0,50 0,27 0,14 0,09 0,00 	0,22 0,23 0,23 0,24 0,08 
22	Z4	0,48 0,26 0,13 0,09 0,04 	0,23 0,23 0,23 0,24 0,08 
23	Z3	0,46 0,25 0,13 0,13 0,04 	0,23 0,23 0,23 0,23 0,08 
24	Z3	0,44 0,24 0,12 0,16 0,04 	0,23 0,23 0,23 0,23 0,08 
25	Z4	0,42 0,23 0,12 0,15 0,08 	0,23 0,23 0,23 0,23 0,08 
26	Z4	0,41 0,22 0,11 0,15 0,11 	0,23 0,23 0,23 0,23 0,08 
27	Z3	0,39 0,21 0,11 0,18 0,11 	0,23 0,23 0,23 0,23 0,08 
28	Z4	0,38 0,21 0,10 0,17 0,14 	0,23 0,23 0,23 0,23 0,08 
29	Z4	0,37 0,20 0,10 0,17 0,17 	0,23 0,23 0,23 0,23 0,08 
30	Z3	0,35 0,19 0,10 0,19 0,16 	0,23 0,23 0,23 0,23 0,08 
31	Z3	0,34 0,19 0,09 0,22 0,16 	0,23 0,23 0,23 0,23 0,08 
32	Z3	0,33 0,18 0,09 0,24 0,15 	0,23 0,23 0,23 0,23 0,08 
33	Z3	0,32 0,18 0,09 0,26 0,15 	0,23 0,23 0,23 0,23 0,08 
34	Z3	0,31 0,17 0,09 0,29 0,14 	0,23 0,23 0,23 0,23 0,08 
35	Z2	0,31 0,17 0,11 0,28 0,14 	0,23 0,23 0,23 0,23 0,08 
36	Z2	0,30 0,16 0,14 0,27 0,14 	0,23 0,23 0,23 0,23 0,08 
37	Z2	0,29 0,16 0,16 0,26 0,13 	0,23 0,23 0,23 0,23 0,08 
38	Z1	0,28 0,18 0,15 0,26 0,13 	0,23 0,23 0,23 0,23 0,08 
39	Z1	0,28 0,20 0,15 0,25 0,13 	0,23 0,23 0,23 0,23 0,08 
40	Z2	0,27 0,20 0,17 0,24 0,12 	0,23 0,23 0,23 0,23 0,08 
41	Z2	0,26 0,19 0,19 0,24 0,12 	0,23 0,23 0,23 0,23 0,08 
42	Z2	0,26 0,19 0,21 0,23 0,12 	0,23 0,23 0,23 0,23 0,08 
43	Z2	0,25 0,18 0,23 0,23 0,11 	0,23 0,23 0,23 0,23 0,08 
44	Z3	0,24 0,18 0,22 0,24 0,11 	0,23 0,23 0,23 0,23 0,08 
45	Z4	0,24 0,17 0,22 0,24 0,13 	0,23 0,23 0,23 0,23 0,08 
46	Z3	0,23 0,17 0,21 0,26 0,13 	0,23 0,23 0,23 0,23 0,08 
47	Z2	0,23 0,17 0,23 0,25 0,13 	0,23 0,23 0,23 0,23 0,08 
